******************PageRank******************
The pages as per their docID and scores are : 
('United_States', 0.009635683227062219)
('Earth', 0.008410341050770093)
('NASA', 0.006490166101365378)
('Sun', 0.006420803809887124)
('India', 0.005977805476533913)
('Australia', 0.005795295191759062)
('Astronomy', 0.005512747450755682)
('Moon', 0.005363518138504344)
('United_Kingdom', 0.005139682867214602)
('Europe', 0.004801503941776597)
('Indonesia', 0.004774465217963252)
('Italy', 0.004717368255797819)
('New_Zealand', 0.0047051096435391)
('Germany', 0.004389905174157629)
('Soviet_Union', 0.004298703182196913)
('South_Africa', 0.0042202126983216974)
('Solar_System', 0.004195873683903129)
('Aristotle', 0.004194356973023474)
('Albert_Einstein', 0.00409771330913428)
('Universe', 0.004030162498411209)
('Galileo_Galilei', 0.0038846761138113966)
('Temperature', 0.0038809518168913476)
('Mars', 0.003828395522142569)
('European_Union', 0.0038254454199873485)
('International_Space_Station', 0.003824429774207622)
('Hydrogen', 0.0037943715508423066)
('Star', 0.00362616799094383)
('Brazil', 0.0035539322431145386)
('Kelvin', 0.003525625991048405)
('Milky_Way', 0.003503340454623626)
('Sovereign_state', 0.0035014098520173074)
('Radiation', 0.003440518787552536)
('Indian_Ocean', 0.0034337596622254357)
('Africa', 0.0033396873575065223)
('Netherlands', 0.0033335494287166133)
('Ancient_Greece', 0.0033324969836504015)
('Planet', 0.003283291023061599)
('Cold_War', 0.003244779815469369)
('Venus', 0.003240849953052095)
('Jupiter', 0.0031854115006885644)
('Human_spaceflight', 0.003137578518483852)
('Speed_of_light', 0.003125855761546892)
('Photon', 0.0031190621842053837)
('Gravity', 0.003084168056504304)
('Astronomical_unit', 0.0030725545174938355)
('Thailand', 0.003066317976998326)
('Ptolemy', 0.003063212994700781)
('Magnetic_field', 0.0030299585117147666)
('Density', 0.0029670781773797087)
('Pressure', 0.002942409955517513)
